id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
246,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
247,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
248,CT Chamaleontis b,622,17 Jupiters,12.335,2007
249,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
250,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
251,CoRoT-24 b,1930,5.7 Earths,15.383,2014
252,CoRoT-24 c,1930,28 Earths,15.383,2014
253,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
254,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
255,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
256,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
257,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
258,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
259,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
260,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
261,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
262,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
263,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
264,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
265,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
266,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
267,CoRoT-7 b,522,4.07661 Earths,11.728,2009
268,CoRoT-7 c,522,8.4 Earths,11.728,2009
269,CoRoT-7 d,522,17.142 Earths,11.728,2022
270,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
271,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
272,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
273,CT Chamaleontis b,622,17 Jupiters,12.335,2007
274,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
275,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
276,CoRoT-24 b,1930,5.7 Earths,15.383,2014
277,CoRoT-24 c,1930,28 Earths,15.383,2014
278,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
279,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
280,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
281,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
282,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
283,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
284,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
285,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
286,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
287,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
288,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
289,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
290,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
291,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
292,CoRoT-7 b,522,4.07661 Earths,11.728,2009
293,CoRoT-7 c,522,8.4 Earths,11.728,2009
294,CoRoT-7 d,522,17.142 Earths,11.728,2022
295,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
296,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
297,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
298,CT Chamaleontis b,622,17 Jupiters,12.335,2007
299,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
300,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
301,CoRoT-24 b,1930,5.7 Earths,15.383,2014
302,CoRoT-24 c,1930,28 Earths,15.383,2014
303,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
304,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
305,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
306,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
307,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
308,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
309,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
310,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
311,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
312,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
313,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
314,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
315,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
316,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
317,CoRoT-7 b,522,4.07661 Earths,11.728,2009
318,CoRoT-7 c,522,8.4 Earths,11.728,2009
319,CoRoT-7 d,522,17.142 Earths,11.728,2022
320,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
321,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
322,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
323,CT Chamaleontis b,622,17 Jupiters,12.335,2007
324,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
325,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
326,CoRoT-24 b,1930,5.7 Earths,15.383,2014
327,CoRoT-24 c,1930,28 Earths,15.383,2014
328,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
329,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
330,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
331,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
332,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
333,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
334,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
335,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
336,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022
337,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022
338,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
339,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
340,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
341,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
342,CoRoT-7 b,522,4.07661 Earths,11.728,2009
343,CoRoT-7 c,522,8.4 Earths,11.728,2009
344,CoRoT-7 d,522,17.142 Earths,11.728,2022
345,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
346,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
347,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
348,CT Chamaleontis b,622,17 Jupiters,12.335,2007
349,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
350,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
351,DH Tauri b,440,11 Jupiters,13.98,2004
352,DMPP-1 b,204,24.27 Earths,7.98,2019
353,DMPP-1 c,204,9.6 Earths,7.98,2019
354,DMPP-1 d,204,3.35 Earths,7.98,2019
355,DMPP-1 e,204,4.13 Earths,7.98,2019
356,DMPP-2 b,450,0.437 Jupiters,8.57,2019
357,DMPP-3 A b,148,2.58 Earths,9.066,2019
358,DP Leonis b,997,6.28 Jupiters,18.6837,2009
359,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
360,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
361,EPIC 201238110 b,520,4.16 Earths,16.014,2019
362,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
363,EPIC 201497682 b,825,0.26 Earths,13.948,2019
364,EPIC 201595106 b,757,2.24 Earths,11.746,2021
365,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
366,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
367,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
368,EPIC 201833600 c,840,0.972 Earths,14.705,2019
369,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
370,EPIC 205950854 c,796,2.27 Earths,12.365,2019
371,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
372,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
373,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
374,EPIC 206032309 b,526,1.01 Earths,17.89,2019
375,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
376,DH Tauri b,440,11 Jupiters,13.98,2004
377,DMPP-1 b,204,24.27 Earths,7.98,2019
378,DMPP-1 c,204,9.6 Earths,7.98,2019
379,DMPP-1 d,204,3.35 Earths,7.98,2019
380,DMPP-1 e,204,4.13 Earths,7.98,2019
381,DMPP-2 b,450,0.437 Jupiters,8.57,2019
382,DMPP-3 A b,148,2.58 Earths,9.066,2019
383,DP Leonis b,997,6.28 Jupiters,18.6837,2009
384,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
385,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
386,EPIC 201238110 b,520,4.16 Earths,16.014,2019
387,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
388,EPIC 201497682 b,825,0.26 Earths,13.948,2019
389,EPIC 201595106 b,757,2.24 Earths,11.746,2021
390,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
391,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
392,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
393,EPIC 201833600 c,840,0.972 Earths,14.705,2019
394,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
395,EPIC 205950854 c,796,2.27 Earths,12.365,2019
396,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
397,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
398,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
399,EPIC 206032309 b,526,1.01 Earths,17.89,2019
400,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
401,DH Tauri b,440,11 Jupiters,13.98,2004
402,DMPP-1 b,204,24.27 Earths,7.98,2019
403,DMPP-1 c,204,9.6 Earths,7.98,2019
404,DMPP-1 d,204,3.35 Earths,7.98,2019
405,DMPP-1 e,204,4.13 Earths,7.98,2019
406,DMPP-2 b,450,0.437 Jupiters,8.57,2019
407,DMPP-3 A b,148,2.58 Earths,9.066,2019
408,DP Leonis b,997,6.28 Jupiters,18.6837,2009
409,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
410,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
411,EPIC 201238110 b,520,4.16 Earths,16.014,2019
412,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
413,EPIC 201497682 b,825,0.26 Earths,13.948,2019
414,EPIC 201595106 b,757,2.24 Earths,11.746,2021
415,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
416,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
417,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
418,EPIC 201833600 c,840,0.972 Earths,14.705,2019
419,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
420,EPIC 205950854 c,796,2.27 Earths,12.365,2019
421,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
422,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
423,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
424,EPIC 206032309 b,526,1.01 Earths,17.89,2019
425,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
426,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
427,EPIC 206215704 b,358,0.972 Earths,17.83,2019
428,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
429,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
430,EPIC 211822797 b,607,4.35 Earths,15.133,2016
431,EPIC 211945201 b,593,27 Earths,10.154,2018
432,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
433,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
434,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
435,EPIC 212499991 b,924,3.19 Earths,13.672,2019
436,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
437,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
438,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
439,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
440,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
441,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
442,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
443,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
444,EPIC 220674823 b,798,8.21 Earths,12.101,2016
445,EPIC 220674823 c,798,8.9 Earths,12.101,2016
446,EPIC 228836835 b,490,1.37 Earths,16.77,2021
447,EPIC 229004835 b,398,10.4 Earths,10.23,2023
448,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
449,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
450,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
451,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
452,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
453,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
454,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
455,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
456,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
457,FU Tauri b,435,16 Jupiters,,2008
458,G 264-012 b,52,2.5 Earths,13.078,2021
459,G 264-012 c,52,3.75 Earths,13.078,2021
460,G 9-40 b,91,11.7 Earths,13.821,2019
461,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
462,Gaia-2 b,683,0.817 Jupiters,11.277,2022
463,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
464,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
465,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
466,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
467,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
468,GJ 1002 b,16,1.08 Earths,13.76,2022
469,GJ 1002 c,16,1.36 Earths,13.76,2022
470,GJ 1061 b,12,1.37 Earths,12.7,2020
471,GJ 1061 c,12,1.74 Earths,12.7,2020
472,GJ 1061 d,12,1.64 Earths,12.7,2020
473,GJ 1132 b,41,1.66 Earths,13.68,2015
474,GJ 1132 c,41,2.64 Earths,13.68,2018
475,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
476,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
477,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
478,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
479,Epsilon Eridani b,10,0.66 Jupiters,3.718,2000
480,Epsilon Indi A b,12,3.25 Jupiters,4.674,2019
481,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
482,FU Tauri b,435,16 Jupiters,,2008
483,G 264-012 b,52,2.5 Earths,13.078,2021
484,G 264-012 c,52,3.75 Earths,13.078,2021
485,G 9-40 b,91,11.7 Earths,13.821,2019
486,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
487,Gaia-2 b,683,0.817 Jupiters,11.277,2022
488,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
489,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
490,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
491,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
492,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
493,GJ 1002 b,16,1.08 Earths,13.76,2022
494,GJ 1002 c,16,1.36 Earths,13.76,2022
495,GJ 1061 b,12,1.37 Earths,12.7,2020
496,GJ 1061 c,12,1.74 Earths,12.7,2020
497,GJ 1061 d,12,1.64 Earths,12.7,2020
498,GJ 1132 b,41,1.66 Earths,13.68,2015
499,GJ 1132 c,41,2.64 Earths,13.68,2018
